year,loss_ha
2001,2790.3871438933716
2002,2625.5260437363836
2003,1401.7277457297425
2004,2197.400233741312
2005,2141.2075144270357
2006,4889.40302794841
2007,2413.5782571740256
2008,2844.1255952629294
2009,3543.028775701331
2010,2719.108462575541
2011,2657.7026530349603
2012,4148.930488587601
2013,5543.051347405143
2014,11325.879832126486
2015,11454.799761830525
2016,19614.63263821731
2017,26157.496446670997
2018,17557.320380942063
2019,20973.555119460125
2020,19628.980709912536
2021,15856.01585698275
2022,12212.335728733919
2023,15503.20939426639
